tmdb_id,title,year,genres,runtime,tmdb_rating,poster_path,valence,arousal,dominance,absorption,hedonic,eudaimonic,psych_rich,emotional_arc,dominant_emotions,mood_tags,watch_context,vibe_sentence,pacing,ending_type,comfort_level,safety_warnings,conversation_potential,rt_critic,rt_audience,imdb_rating
18,The Fifth Element,1997,"[""Science Fiction"",""Action"",""Adventure""]",126,7.564,/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg,0.65,0.78,0.72,0.62,0.82,0.35,0.71,man-in-a-hole,"[""joy"",""anticipation"",""surprise""]","[""space-opera"",""visual-spectacle"",""absurdist"",""saving-the-world"",""cyberpunk-wonder"",""daydream-logic""]","[""friends"",""solo""]",Neon-soaked fever dream that trades logic for pure imaginative joy.,relentless,triumphant,0.78,"[]",0.72,71,86,7.6
19,Metropolis,1927,"[""Drama"",""Science Fiction""]",148,8.09,/kr9wXRN23zLuWJIelahas1mtnYj.jpg,-0.15,0.62,-0.35,0.78,0.4,0.85,0.88,oedipus,"[""fear"",""sadness"",""anger""]","[""class-struggle"",""dystopian"",""prophetic"",""dehumanization"",""betrayal"",""expressionist"",""cautionary""]","[""solo""]","Towering dread and mechanical chaos, beautiful and terrible.",building,bittersweet,0.35,"[""graphic-violence""]",0.92,97,92,8.2
20,My Life Without Me,2003,"[""Drama"",""Romance""]",106,6.075,/pFEtVPW88pWflYV84UFL0h1iJr3.jpg,-0.35,0.28,0.15,0.72,0.15,0.85,0.68,man-in-a-hole,"[""sadness"",""love"",""bittersweet""]","[""terminal-illness"",""last-wishes"",""mother-love"",""mortality"",""bittersweet"",""quiet-defiance""]","[""solo""]",Watching someone love harder because time is running out.,slow-burn,devastating,0.2,"[""sudden-grief""]",0.82,,,7.4
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"[""Adventure"",""Fantasy"",""Action""]",143,7.82,/poHwCZeWzJCShH7tOjg8RIoyjcw.jpg,0.75,0.72,0.8,0.58,0.88,0.35,0.52,man-in-a-hole,"[""joy"",""anticipation"",""surprise""]","[""swashbuckling"",""adventure"",""witty"",""treasure-hunt"",""found-family"",""supernatural""]","[""friends"",""family""]",Swashbuckling chaos and rum-soaked charm under moonlit skies.,building,triumphant,0.82,"[]",0.68,80,86,8.1
24,Kill Bill: Vol. 1,2003,"[""Action"",""Crime""]",111,7.971,/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,0.65,0.82,0.78,0.72,0.85,0.45,0.75,rags-to-riches,"[""anger"",""anticipation"",""joy""]","[""revenge"",""empowerment"",""stylized-violence"",""adrenaline"",""cinema-as-art"",""cathartic""]","[""solo"",""friends""]",Pure adrenaline wrapped in pop-culture pastiche and sword-song fury.,relentless,twist,0.55,"[""graphic-violence""]",0.82,85,81,8.2
25,Jarhead,2005,"[""Drama"",""War""]",123,6.7,/6vdj47RAWOUZBkeQmqToeZ7eaio.jpg,-0.35,0.55,-0.15,0.72,0.25,0.68,0.62,man-in-a-hole,"[""frustration"",""sadness"",""anticipation""]","[""military-discipline"",""psychological-deterioration"",""war-ambivalence"",""isolation"",""masculine-fragility"",""anti-war""]","[""solo"",""friends""]","Desert boredom metastasizing into existential dread, waiting for violence that never comes.",slow-burn,ambiguous,0.45,"[""psychological-manipulation"",""self-harm""]",0.78,61,68,7
27,9 Songs,2004,"[""Drama"",""Music"",""Romance""]",70,5.528,/91O7z0vo7MiNWd5xD2BoivwbQsb.jpg,-0.15,0.45,0.35,0.35,0.4,0.55,0.5,man-in-a-hole,"[""sadness"",""desire"",""anticipation""]","[""doomed-romance"",""sensuality"",""melancholy"",""temporal-loss"",""music-as-memory""]","[""solo"",""date""]",Fragile summer romance dissolving in concert lights and uncertain touch.,episodic,bittersweet,0.35,"[""graphic-sexuality""]",0.65,24,32,4.8
28,Apocalypse Now,1979,"[""Drama"",""War""]",147,8.268,/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg,-0.65,0.72,-0.55,0.88,0.15,0.85,0.92,oedipus,"[""fear"",""disgust"",""awe""]","[""descent-into-madness"",""war-trauma"",""moral-corruption"",""existential-horror"",""surrealist"",""anti-war""]","[""solo""]","Fever dream drift into humanity's darkest heart, beautiful and suffocating.",slow-burn,devastating,0.25,"[""graphic-violence"",""psychological-manipulation""]",0.92,98,94,8.4
33,Unforgiven,1992,"[""Western""]",130,7.906,/54roTwbX9fltg85zjsmrooXAs12.jpg,-0.25,0.4,0.15,0.75,0.3,0.85,0.8,oedipus,"[""sadness"",""regret"",""anger""]","[""redemption"",""regret"",""moral-reckoning"",""western-deconstruction"",""violence-as-cost"",""aging-gunfighter""]","[""solo"",""friends""]","Dust and whiskey, the hollow cost of retribution, slow reckoning.",slow-burn,devastating,0.45,"[""graphic-violence""]",0.9,96,93,8.2
35,The Simpsons Movie,2007,"[""Animation"",""Comedy"",""Family""]",87,7.021,/s3b8TZWwmkYc2KoJ5zk77qB6PzY.jpg,0.72,0.68,0.65,0.42,0.85,0.52,0.58,man-in-a-hole,"[""joy"",""surprise""]","[""family-dysfunction"",""redemption"",""absurdist-humor"",""environmental-satire"",""lighthearted"",""comedic-chaos""]","[""solo"",""friends"",""family""]","Cartoon mayhem with heart, laughing at disaster while rooting for the lovable screwups.",building,triumphant,0.82,"[]",0.58,87,77,7.3
38,Eternal Sunshine of the Spotless Mind,2004,"[""Science Fiction"",""Drama"",""Romance""]",108,8.091,/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,-0.15,0.35,0.2,0.92,0.25,0.88,0.9,oedipus,"[""sadness"",""nostalgia"",""bittersweet-longing""]","[""memory-and-loss"",""doomed-love"",""regret"",""existential"",""bittersweet-redemption"",""surreal-dreamlogic""]","[""solo"",""date""]",Watching your own heartbreak dissolve while realizing you'd choose it again.,slow-burn,bittersweet,0.35,"[]",0.92,92,94,8.3
55,Amores Perros,2000,"[""Drama"",""Thriller""]",154,7.632,/A4lH22nlFF7MdalGfcvSrlC1ttt.jpg,-0.55,0.65,-0.35,0.85,0.15,0.82,0.78,oedipus,"[""sadness"",""anger"",""fear""]","[""redemption"",""urban-despair"",""class-divide"",""consequence"",""interconnection"",""betrayal""]","[""solo""]",Brutal honesty about desire and its violent consequences.,building,devastating,0.25,"[""graphic-violence"",""animal-harm""]",0.88,,,8
58,Pirates of the Caribbean: Dead Man's Chest,2006,"[""Adventure"",""Fantasy"",""Action""]",151,7.4,/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg,0.55,0.72,0.58,0.45,0.8,0.35,0.4,man-in-a-hole,"[""joy"",""anticipation"",""surprise""]","[""swashbuckling"",""adventure"",""witty-banter"",""supernatural-threat"",""high-stakes"",""escapism""]","[""friends"",""family""]",Rollicking chaos and clever quips under perpetual supernatural threat.,relentless,devastating,0.72,"[]",0.62,53,72,7.4
59,A History of Violence,2005,"[""Drama"",""Thriller"",""Crime""]",96,7.166,/3qnO72NHmUgs9JZXAmu4aId9QDl.jpg,-0.4,0.65,-0.2,0.8,0.2,0.75,0.8,oedipus,"[""anger"",""fear"",""sadness""]","[""identity-crisis"",""duality"",""psychological-unraveling"",""marital-rupture"",""moral-ambiguity"",""violence-consequences""]","[""solo""]","Comfortable lies shatter into violent truths, leaving only wreckage.",building,unsettling,0.35,"[""sudden-grief"",""domestic-abuse""]",0.85,87,76,7.4
62,2001: A Space Odyssey,1968,"[""Science Fiction"",""Mystery"",""Adventure""]",149,8.054,/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,-0.15,0.25,0.1,0.92,0.3,0.85,0.9,man-in-a-hole,"[""awe"",""wonder"",""existential-dread""]","[""cosmic-horror"",""existential"",""transcendence"",""isolation"",""philosophical"",""evolution""]","[""solo""]","Vast silence punctuated by otherworldly communion, profoundly lonely and magnificent.",slow-burn,ambiguous,0.25,"[]",0.95,91,89,8.3
63,Twelve Monkeys,1995,"[""Science Fiction"",""Thriller"",""Mystery""]",129,7.602,/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,-0.35,0.68,-0.45,0.88,0.45,0.72,0.85,oedipus,"[""fear"",""paranoia"",""sadness""]","[""dystopian"",""time-paradox"",""psychological-unraveling"",""conspiracy"",""dark-sci-fi"",""existential-dread""]","[""solo"",""friends""]","Trapped in a maze of your own fractured mind, watching reality slip sideways.",building,twist,0.25,"[""psychological-manipulation"",""mental-health-stigma""]",0.92,,,8
64,Talk to Her,2002,"[""Drama"",""Romance""]",112,7.577,/fWDbQlOWOqjR5jZm98KjGyYmUOw.jpg,-0.15,0.35,0.25,0.82,0.35,0.85,0.88,oedipus,"[""sadness"",""tenderness"",""melancholy""]","[""loneliness"",""obsessive-love"",""mortality"",""artistic-beauty"",""care-and-devotion"",""transgression""]","[""solo"",""date""]","Melancholic tenderness unfolding in hospital fluorescence, beautiful and deeply unsettling.",slow-burn,devastating,0.25,"[""sexual-assault"",""suicide""]",0.92,91,93,7.9
65,8 Mile,2002,"[""Drama"",""Music""]",111,7.142,/7BmQj8qE1FLuLTf7Xjf9sdIHzoa.jpg,0.35,0.62,0.45,0.58,0.55,0.72,0.42,man-in-a-hole,"[""determination"",""fear"",""triumph""]","[""underdog"",""coming-of-age"",""redemption"",""gritty-realism"",""found-family"",""struggle""]","[""solo"",""friends""]",Cold Detroit nights where survival and ambition collide over microphone battles.,building,triumphant,0.72,"[]",0.68,75,54,7.2
66,Absolute Power,1997,"[""Crime"",""Drama"",""Action""]",121,6.663,/izvyt3cxlilhbYwybTOteDWqf99.jpg,-0.15,0.72,0.45,0.68,0.35,0.62,0.38,man-in-a-hole,"[""anger"",""fear"",""anticipation""]","[""corruption"",""revenge"",""justice"",""paranoia"",""father-daughter"",""high-stakes""]","[""solo"",""friends""]",Taut cat-and-mouse thriller where ordinary man outsmarts absolute power.,building,triumphant,0.58,"[""sexual-assault"",""graphic-violence""]",0.62,,,6.7
67,Paradise Now,2005,"[""Crime"",""Thriller"",""Drama"",""War""]",90,6.878,/qWZkYa8VdcDZk8uzRB2PfhpM9IL.jpg,-0.65,0.55,-0.4,0.85,0.1,0.88,0.82,oedipus,"[""sadness"",""anticipation"",""fear""]","[""political-conflict"",""moral-complexity"",""betrayal"",""radicalization"",""friendship-tested"",""existential-dread""]","[""solo""]",Suffocating tension wrapped in the quiet desperation of two men collapsing inward.,building,ambiguous,0.25,"[""suicide"",""sudden-grief""]",0.92,89,87,7.4
68,Brazil,1985,"[""Comedy"",""Science Fiction""]",143,7.667,/aewan59WcFThBimkTVVoNf2o5Vb.jpg,-0.55,0.62,-0.45,0.88,0.45,0.72,0.92,oedipus,"[""anxiety"",""darkly comic-relief"",""despair""]","[""dystopian-bureaucracy"",""surreal-nightmare"",""absurdist"",""dark-comedy"",""paranoia"",""resistance""]","[""solo""]",Trapped in Kafka's fever dream while the walls close in.,building,ambiguous,0.25,"[""sudden-grief"",""psychological-manipulation""]",0.89,98,90,7.8
69,Walk the Line,2005,"[""Drama"",""Music"",""Romance""]",136,7.5,/p8lPTjvjOjTfvC1E9pmMwcF9vkn.jpg,0.35,0.58,0.42,0.68,0.62,0.74,0.51,man-in-a-hole,"[""sadness"",""hope"",""regret""]","[""redemption"",""addiction"",""forbidden-love"",""loss"",""second-chances"",""music""]","[""solo"",""date""]","Stumbling toward grace through smoke and heartbreak, finding redemption in another's arms.",building,bittersweet,0.68,"[""sudden-grief"",""self-harm""]",0.72,82,90,7.8
70,Million Dollar Baby,2004,"[""Drama""]",132,8,/jcfEqKdWF1zeyvECPqp3mkWLct2.jpg,-0.15,0.35,0.25,0.78,0.4,0.85,0.6,man-in-a-hole,"[""sadness"",""trust"",""bittersweet-joy""]","[""redemption"",""unlikely-friendship"",""tragedy"",""boxing"",""mentor-bond"",""euthanasia""]","[""solo"",""date""]","Quiet devastation wrapped in human connection, building toward unbearable choice.",slow-burn,devastating,0.35,"[""suicide"",""sudden-grief""]",0.88,90,90,8.1
71,Billy Elliot,2000,"[""Drama"",""Comedy"",""Music""]",111,7.594,/nOr5diUZxphmAD3li9aiILyI28F.jpg,0.72,0.58,0.68,0.62,0.8,0.85,0.65,man-in-a-hole,"[""joy"",""sadness"",""trust""]","[""coming-of-age"",""redemption"",""found-family"",""passion"",""working-class"",""identity""]","[""solo"",""family"",""friends""]",Defiant grace rising from industrial hardship and parental love.,building,triumphant,0.82,"[]",0.72,85,89,7.7
73,American History X,1998,"[""Drama""]",119,8.327,/x2drgoXYZ8484lqyDj7L1CEVR4T.jpg,-0.65,0.72,-0.45,0.78,0.15,0.82,0.71,man-in-a-hole,"[""anger"",""sadness"",""disgust""]","[""redemption"",""racial-reckoning"",""systemic-violence"",""brother-bonds"",""radicalization"",""moral-awakening""]","[""solo"",""friends""]",Brutal confrontation with hate's machinery and the slim possibility of transformation.,building,devastating,0.25,"[""graphic-violence"",""sexual-assault"",""suicide""]",0.88,83,96,8.5
74,War of the Worlds,2005,"[""Adventure"",""Thriller"",""Science Fiction""]",117,6.531,/6Biy7R9LfumYshur3YKhpj56MpB.jpg,-0.35,0.78,-0.42,0.62,0.35,0.55,0.48,man-in-a-hole,"[""fear"",""sadness"",""anticipation""]","[""apocalypse"",""survival"",""family-under-siege"",""helplessness"",""9-11-trauma"",""desperate-parenting""]","[""friends"",""solo""]","Relentless terror with no escape hatch, watching helpless people scatter like ash.",relentless,bittersweet,0.32,"[""graphic-violence"",""child-harm""]",0.72,75,42,6.6
75,Mars Attacks!,1996,"[""Comedy"",""Fantasy"",""Science Fiction""]",106,6.417,/hll4O5vSAfnZDb6JbnP06GPtz7b.jpg,0.35,0.62,0.28,0.61,0.72,0.58,0.71,icarus,"[""joy"",""surprise"",""disgust""]","[""dark-humor"",""absurdist"",""satirical"",""alien-invasion"",""camp"",""chaos""]","[""friends"",""solo""]",Gleefully grotesque chaos wrapped in campy B-movie pastiche and gleeful contempt.,relentless,ambiguous,0.52,"[""graphic-violence""]",0.78,56,53,6.4
76,Before Sunrise,1995,"[""Drama"",""Romance""]",101,8,/kf1Jb1c2JAOqjuzA3H4oDM263uB.jpg,0.55,0.25,0.65,0.78,0.72,0.85,0.79,man-in-a-hole,"[""joy"",""anticipation"",""sadness""]","[""bittersweet-romance"",""fleeting-connection"",""philosophical"",""nostalgia"",""intellectual-intimacy"",""melancholic-joy""]","[""solo"",""date""]",Walking through a beautiful city at night knowing it must end by morning.,slow-burn,bittersweet,0.82,"[]",0.88,100,93,8.1
77,Memento,2000,"[""Mystery"",""Thriller""]",113,8.176,/fKTPH2WvH8nHTXeBYBVhawtRqtR.jpg,-0.3,0.65,-0.4,0.92,0.4,0.75,0.95,oedipus,"[""confusion"",""suspicion"",""despair""]","[""psychological-thriller"",""identity-crisis"",""unreliable-narrator"",""obsession"",""paranoia"",""moral-ambiguity""]","[""solo""]","Trapped in a puzzle that rewrites itself, chasing ghosts of memory.",relentless,twist,0.25,"[""psychological-manipulation""]",0.92,93,94,8.4
78,Blade Runner,1982,"[""Science Fiction"",""Drama"",""Thriller""]",118,7.94,/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg,-0.35,0.55,-0.15,0.85,0.3,0.9,0.95,oedipus,"[""sadness"",""fear"",""anticipation""]","[""existential"",""identity-crisis"",""noir"",""isolation"",""mortality"",""philosophical-sci-fi""]","[""solo""]",Neon-soaked dread in a rain-slicked future where nothing is what it seems.,slow-burn,ambiguous,0.25,"[]",0.92,89,91,8.1
79,Hero,2002,"[""Drama"",""Adventure"",""Action"",""History""]",99,7.51,/vxgZto2Cz7ILHAlmRXt50I2brB2.jpg,0.15,0.62,0.28,0.78,0.45,0.88,0.82,oedipus,"[""sadness"",""anticipation"",""trust""]","[""sacrifice"",""political-intrigue"",""honor-vs-duty"",""melancholy"",""unreliable-narrator"",""philosophical""]","[""solo"",""friends""]",Exquisite beauty masking layers of deception and tragic compromise.,building,ambiguous,0.48,"[""sudden-grief""]",0.89,,,7.9
80,Before Sunset,2004,"[""Drama"",""Romance""]",80,7.8,/4sW5XH9ZfYXpvFzev00S1IGAEbg.jpg,0.15,-0.75,-0.4,0.88,0.3,0.85,0.82,oedipus,"[""sadness"",""anticipation"",""trust""]","[""bittersweet"",""longing"",""missed-connection"",""philosophical"",""romantic-melancholy"",""second-chances""]","[""solo"",""date""]","Golden hour in Paris with someone you can't keep, words tumbling like water.",slow-burn,ambiguous,0.65,"[]",0.92,94,92,8.1
81,Nausicaä of the Valley of the Wind,1984,"[""Adventure"",""Animation"",""Fantasy""]",117,7.948,/tcrkfB8SRPQCgwI88hQScua6nxh.jpg,0.35,0.72,0.55,0.78,0.65,0.82,0.85,man-in-a-hole,"[""fear"",""determination"",""sadness""]","[""eco-consciousness"",""coming-of-age"",""sacrifice"",""nature-vs-civilization"",""redemption"",""heroic-burden""]","[""solo"",""friends""]",Soaring through toxic skies with a broken heart and impossible choices.,building,bittersweet,0.58,"[""sudden-grief""]",0.82,,,8
82,Miami Vice,2006,"[""Action"",""Crime"",""Thriller""]",132,6,/1KGD2g0wOc7WBfHc5G19reLHQxk.jpg,-0.15,0.72,0.28,0.68,0.62,0.38,0.55,oedipus,"[""anticipation"",""anger"",""fear""]","[""undercover"",""corruption"",""moral-compromise"",""neon-noir"",""betrayal"",""high-stakes""]","[""friends"",""solo""]",Stylish neon paranoia where allies become liabilities and nothing stays won.,building,unsettling,0.35,"[""sudden-grief"",""suicide""]",0.68,47,43,6.1
83,Open Water,2004,"[""Horror"",""Thriller""]",80,5.551,/7Gy5N0Yp7ocaKBR860v9KDbpYHj.jpg,-0.75,0.68,-0.82,0.72,0.1,0.55,0.48,riches-to-rags,"[""fear"",""sadness"",""helplessness""]","[""primal-fear"",""isolation"",""survival-horror"",""existential-dread"",""psychological-torment"",""futility""]","[""solo""]","Treading water in darkness, waiting for teeth.",slow-burn,devastating,0.15,"[""suicide""]",0.78,71,33,5.8
85,Raiders of the Lost Ark,1981,"[""Adventure"",""Action""]",115,7.922,/ceG9VzoRAVGwivFU403Wc3AHRys.jpg,0.82,0.79,0.85,0.62,0.88,0.58,0.45,man-in-a-hole,"[""joy"",""anticipation"",""fear""]","[""adventure"",""treasure-hunt"",""good-vs-evil"",""heroic"",""swashbuckling"",""escapism""]","[""friends"",""family""]",Adrenaline-fueled globe-trotting with whip-cracks and genuine laughs.,relentless,triumphant,0.84,"[]",0.68,96,96,8.4
87,Indiana Jones and the Temple of Doom,1984,"[""Adventure"",""Action""]",118,7.305,/gpdVNUaa4LhRMLfJOPj1AZdhAZ3.jpg,0.65,0.8,0.7,0.6,0.85,0.35,0.4,man-in-a-hole,"[""excitement"",""fear"",""anticipation""]","[""adventure"",""treasure-hunt"",""thrills"",""exotic-escapism"",""good-versus-evil"",""spectacle""]","[""friends"",""family""]",Breathless exhilaration punctuated by genuine dread and grotesque imagery.,relentless,triumphant,0.55,"[""child-harm"",""graphic-violence""]",0.65,83,82,7.5
88,Dirty Dancing,1987,"[""Drama"",""Music"",""Romance""]",100,7.325,/9Jw6jys7q9gjzVX5zm1z0gC8gY9.jpg,0.75,0.65,0.72,0.35,0.85,0.65,0.4,man-in-a-hole,"[""joy"",""trust"",""anticipation""]","[""summer-romance"",""coming-of-age"",""class-differences"",""sensuality"",""found-family"",""defiance""]","[""date"",""friends""]","Humid summer nights, forbidden kisses, and the thrill of becoming yourself through dance.",building,triumphant,0.82,"[]",0.55,72,90,7.1
89,Indiana Jones and the Last Crusade,1989,"[""Adventure"",""Action""]",127,7.849,/sizg1AU8f8JDZX4QIgE4pjUMBvx.jpg,0.75,0.72,0.78,0.58,0.85,0.62,0.48,man-in-a-hole,"[""joy"",""anticipation"",""trust""]","[""adventure"",""father-son"",""redemption"",""witty-banter"",""globe-trotting"",""good-vs-evil""]","[""friends"",""family""]",Whip-cracking thrills punctuated by genuine laughter and warm father-son moments.,building,triumphant,0.82,"[]",0.68,88,94,8.2
90,Beverly Hills Cop,1984,"[""Comedy"",""Crime"",""Action""]",105,7.201,/eBJEvKkhQ0tUt1dBAcTEYW6kCle.jpg,0.72,0.68,0.75,0.52,0.85,0.48,0.42,man-in-a-hole,"[""joy"",""anticipation"",""anger""]","[""buddy-cop"",""fish-out-of-water"",""revenge"",""witty-banter"",""underdog"",""fast-paced""]","[""friends"",""solo""]",Charming chaos and wisecracks at ninety miles per hour.,relentless,triumphant,0.82,"[]",0.58,83,82,7.4
93,Anatomy of a Murder,1959,"[""Crime"",""Drama"",""Mystery""]",161,7.833,/b2G1QSAwtBv9luhEwErIgSRaU92.jpg,0.25,0.55,0.6,0.88,0.45,0.85,0.8,man-in-a-hole,"[""anticipation"",""anger"",""trust""]","[""courtroom-justice"",""moral-ambiguity"",""redemption"",""corruption"",""legal-gamesmanship"",""small-town-americana""]","[""solo"",""friends""]",Slow-burn legal chess match where justice and truth refuse to align.,slow-burn,ambiguous,0.72,"[""sexual-assault""]",0.88,100,90,8
95,Armageddon,1998,"[""Action"",""Thriller"",""Science Fiction"",""Adventure""]",151,6.8,/eTM3qtGhDU8cvjpoa6KEt5E2auU.jpg,0.65,0.82,0.72,0.38,0.78,0.52,0.28,man-in-a-hole,"[""anticipation"",""joy"",""fear""]","[""survival"",""heroic-sacrifice"",""guilty-pleasure"",""high-stakes"",""action-spectacle"",""found-family""]","[""friends"",""solo""]","Explosions and sentiment collide at maximum volume, exhilarating and earnest.",relentless,triumphant,0.75,"[]",0.42,38,73,6.7
96,Beverly Hills Cop II,1987,"[""Action"",""Comedy"",""Crime""]",103,6.521,/egDakU8O5yUwpUJP9IMAUVtIDll.jpg,0.62,0.78,0.71,0.38,0.8,0.25,0.15,man-in-a-hole,"[""joy"",""anticipation"",""anger""]","[""buddy-cop"",""action-comedy"",""revenge"",""witty"",""high-stakes"",""underdog""]","[""friends"",""solo""]",Adrenaline-fueled wisecracks and explosions; pure popcorn thrills.,relentless,triumphant,0.82,"[]",0.35,46,57,6.6
97,Tron,1982,"[""Science Fiction"",""Action"",""Adventure""]",96,6.635,/jigY9B6TKz4qlfikZcd18qtzTK4.jpg,0.6,0.72,0.65,0.68,0.75,0.55,0.72,man-in-a-hole,"[""anticipation"",""joy"",""surprise""]","[""techno-adventure"",""rebellion"",""visual-spectacle"",""good-vs-evil"",""empowerment"",""nostalgia""]","[""friends"",""solo""]",Neon-bright escapism with the thrill of beating the system.,building,triumphant,0.82,"[]",0.68,72,69,6.7
